arquivo_origem;ano_origem;tipo_base;Exercício: 2019;;;;;;;;
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;De Contribuições Previdenciárias;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisPrevidenciarias;4468498.44
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;De Demais Contribuições Sociais;siconfi-cor_RGF2ParcelamentoERenegociacaoDeDividasDeContribuicoesSociaisDemaisContribuicoesSociais;4571252.27
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;DEDUÇÕES (II);siconfi-cor_DeducoesDaDividaConsolidada;940021016.72
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Disponibilidade de Caixa;siconfi-cor_RGF2DisponibilidadeDeCaixa;940021016.72
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;Disponibilidade de Caixa Bruta;siconfi-cor_DisponibilidadeDeCaixaBrutaAnexo02;993412493.99
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;(-) Restos a Pagar Processados;siconfi-cor_RestosAPagarProcessadosExcetoPrecatorios;53391477.27
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;DÍVIDA CONSOLIDADA LÍQUIDA (DCL) (III) = (I - II);siconfi-cor_DividaConsolidadaLiquida;-866821627.46
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;RECEITA CORRENTE LÍQUIDA - RCL;siconfi-cor_RGF2ReceitaCorrenteLiquida;1236702685.81
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;% da DC sobre a RCL (I/RCL);siconfi-cor_PercentualDaDCSobreARCL;5.92
divida_consolidada_liquida_capitais_2019.csv;2019;DCL Capitais;Prefeitura Municipal de Boa Vista - RR;1400100;RR;Executivo;375374;Até o 3º Quadrimestre;% da DCL sobre a RCL (III/RCL);siconfi-cor_PercentualDaDCLSobreARCL;-70.09
